X,var,Estimate,Std..Error,t.value,Pr...t..,Dependent,Independent,AGM,Data,Type,BRAND,STRATEGIC.PILLAR,DEMOGRAPHIC,MARKETINGSEGMENT,CAMPAIGN,PROGRAM,PROGRAMCATEGORY,ACTIVITY,METRIC,spend_1Year,spend_3Year,fname,Dependent_Variable,Dependent_Demography,Dependent_Metric
26,NAT_DIG_XXX_XXX_XXX_DIG_M58_OTH_CDM_ADD_CLK,0.674888831,0.339041771,1.990577237,0.048674347,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_DIG_XXX_XXX_XXX_DIG_M58_OTH_CDM_ADD_CLK_10_80_0,AUSTRALIAN CAPITAL TERRITORY,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,FY16 Q1 APPLE MUSIC PHASE 2,OTHER,CONSUMER - DIGITAL MARKETING,DESKTOP DISPLAY,CLICKS,15151.5004,47831.30358,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
27,NAT_DIG_XXX_XXX_XXX_DIG_MUL_MOB_CDM_MDS_CLK,0.31504902,0.332223452,0.948304577,0.344775412,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_DIG_XXX_XXX_XXX_DIG_MUL_MOB_CDM_MDS_CLK_10_80_0,AUSTRALIAN CAPITAL TERRITORY,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,MULTIPLE,MOBILITY,CONSUMER - DIGITAL MARKETING,MOBILE DISPLAY,CLICKS,98729.43182,22002.22441,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
28,NAT_DIG_XXX_XXX_XXX_DIG_N06_MOB_CDM_MSR_CLK,1.105257221,0.232150709,4.760946997,4.55E-06,NAT_DIG_XXX_XXX_XXX_DIG_G43_MOB_CDM_MAC_CLK_80_80_3,NAT_DIG_XXX_XXX_XXX_DIG_N06_MOB_CDM_MSR_CLK_10_80_3,AUSTRALIAN CAPITAL TERRITORY,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,GG:XXXX - POSTPAID - HANDSETS - DSK,MOBILITY,CONSUMER - DIGITAL MARKETING,MOBILE SEARCH,CLICKS,52182.30474,215404.3684,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
29,NAT_DIG_XXX_XXX_XXX_DIG_N08_MOB_CDM_MSR_CLK,0.794304062,0.29041125,2.735100872,0.007128441,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_DIG_XXX_XXX_XXX_DIG_N08_MOB_CDM_MSR_CLK_50_80_0,AUSTRALIAN CAPITAL TERRITORY,NAT,Digital Media,XXX,Unknown,UNKNOWN,DIGITAL,GG:XXXX - PREPAID - HANDSETS - DSK,MOBILITY,CONSUMER - DIGITAL MARKETING,MOBILE SEARCH,CLICKS,16024.00868,203469.6217,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
30,NAT_TRA_MCN_XXX_XXX_RMC_R00_PRE_CMB_PTV_AUD,1.182554787,0.376502468,3.14089518,0.002095758,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_TRA_MCN_XXX_XXX_RMC_R00_PRE_CMB_PTV_AUD_50_80_0,AUSTRALIAN CAPITAL TERRITORY,NAT,Traditional Media,MCN,Unknown,UNKNOWN,RETAIL MARKETING - CONSUMER,Q1 PREPAID,PREPAID HANDHELD,CONSUMER - MOBILITY,TV-PAY TV,SPEND,1259.117703,124486.7713,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
31,NAT_TRA_XXX_XXX_XXX_RMC_Q01_PRE_CMB_ODR_AUD,0.454660861,0.333247568,1.364333619,0.174875368,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,NAT_TRA_XXX_XXX_XXX_RMC_Q01_PRE_CMB_ODR_AUD_80_30_3,AUSTRALIAN CAPITAL TERRITORY,NAT,Traditional Media,XXX,Unknown,UNKNOWN,RETAIL MARKETING - CONSUMER,F16 Q2 PREPAID DATA ROLLOVER,PREPAID HANDHELD,CONSUMER - MOBILITY,OUTDOOR,SPEND,11615.72941,63170.4318,model_summary_AUSTRALIAN CAPITAL TERRITORY_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
1,(Intercept),2861.480087,263.6455452,10.85351199,8.82E-20,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,(Intercept),NEW SOUTH WALES - METRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18792.72036,212583.0592,model_summary_NEW SOUTH WALES - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
2,(Intercept),78.65751953,1.285935056,61.16756767,5.89E-108,NAT_DIG_XXX_XXX_XXX_DIG_M98_OTH_DBR_MSR_CLK_10_30_1,(Intercept),NEW SOUTH WALES - METRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15849.05799,74679.53307,model_summary_NEW SOUTH WALES - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
3,CRL_CMP_141_XXX_XXX_RMC_NAT_PRE_CMB_MTV_AUD,-8.668420518,2.380675271,-3.641160398,0.000394854,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,CRL_CMP_141_XXX_XXX_RMC_NAT_PRE_CMB_MTV_AUD_80_30_0,NEW SOUTH WALES - METRO,Control,Competitor Media,Bongo,Unknown,XXX,RETAIL MARKETING - Consumer,NATIONAL,Prepaid Handheld,Consumer - Mobility,Metropolitan Television,Spend,54041.5054,127840.5189,model_summary_NEW SOUTH WALES - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
4,DUMMY_CRH_CON_ACT_010313_010313_SPK_GYZ_REG,441.4937448,388.8787796,1.135299142,0.258404988,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,DUMMY_CRH_CON_ACT_010313_010313_SPK_GYZ_REG,NEW SOUTH WALES - METRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88522.48485,116517.4822,model_summary_NEW SOUTH WALES - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
5,DUMMY_CRH_CON_ACT_050713_050713_SPK_GYZ_REG,2538.958873,367.9283283,6.900688741,2.25E-10,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,DUMMY_CRH_CON_ACT_050713_050713_SPK_GYZ_REG,NEW SOUTH WALES - METRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60803.55844,294586.8435,model_summary_NEW SOUTH WALES - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
6,DUMMY_CRH_CON_ACT_110113_110113_SPK_GYZ_REG,1205.848606,395.4386122,3.049395201,0.002795486,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,DUMMY_CRH_CON_ACT_110113_110113_SPK_GYZ_REG,NEW SOUTH WALES - METRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81860.34822,132589.9898,model_summary_NEW SOUTH WALES - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
7,DUMMY_CRH_CON_ACT_150213_041215_TRD_GYZ_REG,-25.5695833,2.90623475,-8.798182355,8.94E-15,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,DUMMY_CRH_CON_ACT_150213_041215_TRD_GYZ_REG,NEW SOUTH WALES - METRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90711.88872,55075.48698,model_summary_NEW SOUTH WALES - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
8,DUMMY_CRH_CON_ACT_250915_251215_TRD_GYZ_REG,521.1133968,291.0465076,1.790481532,0.075777807,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,DUMMY_CRH_CON_ACT_250915_251215_TRD_GYZ_REG,NEW SOUTH WALES - METRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35014.80135,273738.8459,model_summary_NEW SOUTH WALES - METRO_third_cleaning_.csv,PFM_SIO_OWN_XXX_GYZ_CON_LOC_XXX_XXX_CRH_ACT,GYZ,ACT
