Variable,L_DATA,L_TYPE,L_BRAND,L_STRATEGIC PILLAR,L_DEMOGRAPHIC,L_MARKETINGSEGMENT,L_CAMPAIGN,L_PROGRAM,L_PROGRAMCATEGORY,L_ACTIVITY,L_METRIC,Data,Type,BRAND,STRATEGIC PILLAR,DEMOGRAPHIC,MARKETINGSEGMENT,CAMPAIGN,PROGRAM,PROGRAMCATEGORY,ACTIVITY,METRIC,var_wo_metric, spend 1 yr , spend 3 yrs ,APL,sign,Priority
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_682_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,682,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,682,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_682_CRH,472325.604,2004397.931,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_683_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,683,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,683,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_683_CRH,278459.0341,2271760.046,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_684_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,684,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,684,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_684_CRH,231024.5438,996920.8346,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_686_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,686,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,686,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_686_CRH,501404.6413,808516.018,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_687_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,687,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,687,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_687_CRH,390755.0652,613411.2971,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_799_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,799,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,799,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_799_CRH,954933.3207,78004.96297,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_800_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,800,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,800,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_800_CRH,161255.6541,1675840.234,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_801_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,801,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,801,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_801_CRH,679853.2286,571311.6761,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_802_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,802,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,802,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_802_CRH,610459.5701,28389.35142,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_803_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,803,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,803,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_803_CRH,709814.9559,2083888.558,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_847_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,847,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,847,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_847_CPH,521595.9358,378047.8607,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_848_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,848,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,848,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_848_CPH,572485.0062,304826.0409,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_849_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,849,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,849,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_849_CPH,636513.9778,2452983.675,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_850_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,L00,850,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,L00,850,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_L00_850_CPH,463374.0397,564054.923,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_138_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,138,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,138,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_138_CPH,175786.3187,2876956.609,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_139_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,139,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,139,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_139_CPH,569682.6819,2707382.303,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_140_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,140,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,140,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_140_CPH,803153.4098,1423560.635,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_141_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,141,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,141,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_141_CPH,511331.9261,1248819.063,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_142_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,142,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,142,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_142_CPH,443908.1481,1192233.019,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_143_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,143,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,143,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_143_CPH,164126.9261,2763536.215,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_144_CPH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,144,CPH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,144,Cons Postpaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_144_CPH,772056.0998,1445578.576,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_276_CRM_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,276,CRM,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,276,Cons Prepaid MBB,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_276_CRM,60317.75509,2480528.193,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_277_CRM_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,277,CRM,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,277,Cons Prepaid MBB,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_277_CRM,971478.6402,2523623.591,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_278_CRM_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,278,CRM,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,278,Cons Prepaid MBB,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_278_CRM,392110.4994,844165.91,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_279_CRM_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,279,CRM,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,279,Cons Prepaid MBB,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_279_CRM,427121.8719,2486484.889,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_310_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,310,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,310,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_310_CRH,734772.301,2866000.943,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_311_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,311,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,311,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_311_CRH,127473.5466,2299843.69,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_312_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,312,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,312,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_312_CRH,316208.2069,1868062.085,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_313_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,313,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,313,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_313_CRH,929437.4407,1109159.643,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_314_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,314,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,314,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_314_CRH,970714.8081,1427427.053,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_315_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,315,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,315,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_315_CRH,695505.9509,1557159.498,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_316_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,316,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,316,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_316_CRH,464377.1205,1543103.362,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_317_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,317,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,317,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_317_CRH,529079.1507,2831518.988,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_318_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,318,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,318,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_318_CRH,816675.7658,244559.5934,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_319_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,319,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,319,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_319_CRH,190278.6123,1198089.013,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_320_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,320,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,320,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_320_CRH,511237.7591,309321.2262,No,NEG,100
CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_321_CRH_EVT,CRL,CEV,AMY,XXX,XXX,CON,NAT,M00,321,CRH,EVT,Control,Competitor Event,Amaysim,Unknown,XXX,CONSUMER,NATIONAL,M00,321,Cons Prepaid Mobile HH,Event,CRL_CEV_AMY_XXX_XXX_CON_NAT_M00_321_CRH,794294.4983,642653.6487,No,NEG,100
